name,owner,stars,forks,language,created_at,updated_at,size_kb,watchers_count,open_issues,owner_type,owner_public_repos,owner_location,subscribers_count,last_year_commits,contributors,closed_issues,pull_requests
store.js,marcuswestin,14033,1331,JavaScript,2010-06-27T20:29:33Z,2025-06-18T09:54:15Z,621,14033,99,User,123,New York,353,0,42,0,30
cat-catch,xifangczy,14005,1186,JavaScript,2015-12-25T09:56:35Z,2025-06-21T08:47:56Z,5341,14005,432,User,27,,81,497,10,62,0
Snap.svg,adobe-webplatform,13999,1143,JavaScript,2013-08-15T20:51:34Z,2025-06-21T02:16:38Z,3624,13999,268,Organization,26,,396,0,29,2,9
f8app,fbsamples,13964,2510,JavaScript,2016-03-10T21:45:12Z,2025-06-19T01:24:42Z,14623,13964,45,Organization,62,"Menlo Park, CA",449,0,14,0,26
ChineseBQB,zhaoolee,13960,1288,JavaScript,2019-05-08T05:39:41Z,2025-06-21T07:46:00Z,3029553,13960,20,User,108,New York,183,9,22,0,9
qrcodejs,davidshimjs,13960,4770,JavaScript,2012-12-26T05:29:39Z,2025-06-20T08:28:46Z,130,13960,234,User,26,South Korea,291,0,14,1,62
lint-staged,lint-staged,13950,444,JavaScript,2016-01-15T07:51:21Z,2025-06-20T17:21:22Z,6256,13950,53,Organization,1,,42,142,150,160,2
webpack-dashboard,FormidableLabs,13938,367,JavaScript,2016-08-14T17:44:33Z,2025-06-21T00:53:15Z,2109,13938,39,Organization,328,"Seattle, WA",196,1,49,0,8
http-server,http-party,13924,1537,JavaScript,2011-06-16T23:54:57Z,2025-06-20T16:40:50Z,1969,13924,143,Organization,5,Worldwide,195,19,85,7,42
electronic-wechat,geeeeeeeeek,13920,2711,JavaScript,2016-02-18T09:09:53Z,2025-06-19T08:57:04Z,1114,13920,208,User,55,SF Bay Area,606,0,32,0,10
forever,foreversd,13900,946,JavaScript,2010-09-27T15:47:23Z,2025-06-19T01:25:09Z,1305,13900,344,Organization,3,,273,0,85,1,24
context7,upstash,13885,713,JavaScript,2025-03-26T23:40:39Z,2025-06-21T09:01:54Z,302,13885,45,Organization,102,California,46,225,43,274,3
transformers.js,huggingface,13861,939,JavaScript,2023-02-13T13:51:45Z,2025-06-21T05:39:49Z,106587,13861,401,Organization,323,NYC + Paris,90,418,57,171,62
WebFundamentals,google,13851,2550,JavaScript,2014-04-28T18:45:45Z,2025-06-17T04:51:31Z,1729601,13851,1202,Organization,2777,United States of America,646,0,399,2,28
cesium,CesiumGS,13826,3611,JavaScript,2012-03-02T22:27:14Z,2025-06-20T12:46:54Z,771546,13826,1486,Organization,61,"Philadelphia, PA",480,1685,303,256,39
single-spa,single-spa,13639,929,JavaScript,2015-09-22T06:34:46Z,2025-06-20T17:25:01Z,7603,13639,48,Organization,48,,166,11,43,34,1
git-history,pomber,13622,539,JavaScript,2019-02-04T21:00:39Z,2025-06-19T23:07:54Z,33148,13622,93,User,184,,136,4,18,1,25
marko,marko-js,13615,651,JavaScript,2014-01-07T23:58:21Z,2025-06-21T07:45:31Z,38897,13615,19,Organization,49,,201,543,125,308,1
stf,openstf,13559,2857,JavaScript,2015-06-22T02:23:43Z,2025-06-20T02:27:04Z,71754,13559,464,Organization,25,"Tokyo, Japan",625,0,33,3,44
nedb,louischatriot,13556,1023,JavaScript,2013-05-01T17:12:17Z,2025-06-20T04:18:35Z,1513,13556,208,User,84,Paris,250,2,24,1,38
react-in-patterns,krasimir,13518,976,JavaScript,2016-06-20T07:53:11Z,2025-06-20T05:41:16Z,137244,13518,1,User,216,Bulgaria,294,1,30,7,0
mui,dcloudio,13505,6544,JavaScript,2014-08-18T07:14:41Z,2025-06-18T10:08:47Z,8101,13505,332,Organization,63,"Beijing,China",877,3,11,8,10
redux-devtools-extension,zalmoxisus,13498,1008,JavaScript,2015-10-24T14:10:38Z,2025-06-21T05:12:19Z,11615,13498,265,User,109,,155,0,62,3,42
codesandbox-client,codesandbox,13375,2351,JavaScript,2016-12-27T13:04:17Z,2025-06-20T09:28:28Z,803343,13375,574,Organization,135,,181,68,295,47,38
johnny-five,rwaldron,13365,1756,JavaScript,2012-03-30T20:09:52Z,2025-06-21T03:21:15Z,95042,13365,64,User,799,"Boston, MA",448,0,128,3,5
